epoch,acc,loss,val_acc,val_loss
0,0.9696962833404541,0.1358729749917984,0.9696967601776123,0.13551965355873108
1,0.9696962833404541,0.1354193389415741,0.9696967601776123,0.1352473348379135
2,0.9696962833404541,0.13506653904914856,0.9696967601776123,0.13494731485843658
3,0.9696962833404541,0.1346520185470581,0.9696967601776123,0.13455763459205627
4,0.9696962833404541,0.13414189219474792,0.9696967601776123,0.13397103548049927
5,0.9696962833404541,0.133301243185997,0.9696967601776123,0.1330709010362625
6,0.9696962833404541,0.13203632831573486,0.9696967601776123,0.13159053027629852
7,0.9696962833404541,0.12967263162136078,0.9696967601776123,0.12942549586296082
8,0.9696962833404541,0.12604528665542603,0.9696967601776123,0.12987272441387177
9,0.9696962833404541,0.12307792156934738,0.9696967601776123,0.13498303294181824
